ccode,country_code,GPCP_g,GPCP_g_l,any_prio,lpopl1,lmtnest,Oil,ethfrac,relfrac,polity2l,gdp_g,gdp_g_l,y_0,Iccyear1,Iccyear2,Iccyear3,Iccyear4,Iccyear5,Iccyear6,Iccyear7,Iccyear8,Iccyear9,Iccyear10,Iccyear11,Iccyear12,Iccyear13,Iccyear14,Iccyear15,Iccyear16,Iccyear17,Iccyear18,Iccyear19,Iccyear20,Iccyear21,Iccyear22,Iccyear23,Iccyear24,Iccyear25,Iccyear26,Iccyear27,Iccyear28,Iccyear29,Iccyear30,Iccyear31,Iccyear32,Iccyear33,Iccyear34,Iccyear35,Iccyear36,Iccyear37,Iccyear38,Iccyear39,Iccyear40,Iccyear41
571,BWA,.36343122,-.33362722,0,7.1701198,0,0,.50639182,.5,9,.043045308,.039055414,1.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
571,BWA,-.48391217,.36343122,0,7.2063775,0,0,.50639182,.5,9,.001306698,.043045308,1.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
571,BWA,.74782455,-.48391217,0,7.2370591,0,0,.50639182,.5,9,-.0072933096,.001306698,1.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
571,BWA,-.082285069,.74782455,0,7.236764,0,0,.50639182,.5,9,.0097592538,-.0072933096,1.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
571,BWA,.092074394,-.082285069,0,7.2622218,0,0,.50639182,.5,9,.025883522,.0097592538,1.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
571,BWA,.16764747,.092074394,0,7.2861919,0,0,.50639182,.5,9,.043672197,.025883522,1.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
571,BWA,.054942809,.16764747,0,7.3105502,0,0,.50639182,.5,9,.01494959,.043672197,1.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
571,BWA,-.22840853,.054942809,0,7.3349819,0,0,.50639182,.5,9,.016072422,.01494959,1.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
571,BWA,-.086229131,-.22840853,0,7.3535428,0,0,.50639182,.5,9,.027533462,.016072422,1.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
439,BFA,-.040201049,-.066996247,0,8.8482218,0,0,.67825544,.58000004,-7,.019693661,-.0086768074,.461,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,BFA,.007910396,-.040201049,0,8.8723469,0,0,.67825544,.58000004,-7,.098712519,.019693661,.461,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,BFA,-.14046387,.007910396,0,8.8967247,0,0,.67825544,.58000004,-7,-.019531347,.098712519,.461,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,BFA,.1223489,-.14046387,0,8.9214573,0,0,.67825544,.58000004,-7,-.055776831,-.019531347,.461,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,BFA,.17089209,.1223489,0,8.9466352,0,0,.67825544,.58000004,-7,.044303793,-.055776831,.461,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,BFA,.008674046,.17089209,0,8.9722099,0,0,.67825544,.58000004,-7,.032323178,.044303793,.461,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,BFA,-.091068842,.008674046,1,8.9982605,0,0,.67825544,.58000004,-7,0,.032323178,.461,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,BFA,.13566488,-.091068842,0,9.0248537,0,0,.67825544,.58000004,-7,.021526493,0,.461,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,BFA,.032880668,.13566488,0,9.0518131,0,0,.67825544,.58000004,-7,-.0057471665,.021526493,.461,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,BFA,-.20111379,.032880668,1,9.079092,0,0,.67825544,.58000004,-7,-.015414289,-.0057471665,.461,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,BFA,.3402763,-.20111379,1,9.1067562,0,0,.67825544,.58000004,-7,.021526493,-.015414289,.461,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,BFA,-.0880628,.3402763,0,9.1347542,0,0,.67825544,.58000004,-5,-.015325701,.021526493,.461,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,BFA,-.058146194,-.0880628,0,9.1638775,0,0,.67825544,.58000004,-5,-.030927969,-.015325701,.461,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,BFA,.20209405,-.058146194,0,9.1619797,0,0,.67825544,.58000004,-5,-.011312315,-.030927969,.461,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,BFA,-.15621403,.20209405,0,9.1855383,0,0,.67825544,.58000004,-5,.016192473,-.011312315,.461,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,BFA,.017636545,-.15621403,0,9.2091398,0,0,.67825544,.58000004,-5,.035118937,.016192473,.461,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,BFA,.016957114,.017636545,0,9.2325907,0,0,.67825544,.58000004,-5,.021777097,.035118937,.461,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,BFA,.062342182,.016957114,0,9.2566061,0,0,.67825544,.58000004,-4,.036792293,.021777097,.461,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,BFA,.055314016,.062342182,0,9.2808294,0,0,.67825544,.58000004,-4,.033258632,.036792293,.461,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
