zone,hhsex,AREAH,PRODQ,OWNTYPE1,EXT1,IRRG,FERT,D21B,woreda_id,id
1,Male,.006706,0,Owner,No,No,No,0,2,848
13,Male,.005881,0,Owner,No,Yes,Yes,0,194,849
1,Male,.069103,.434656,Owner,No,No,No,0,2,850
14,Male,.085776,.6347400000000001,Owner,No,No,No,0,206,851
1,Male,.004116,.167903,Owner,No,No,Yes,0,2,852
3,Female,.002905,.229532,Owner,No,No,Yes,0,35,853
13,Male,.008691,.217536,Owner,No,No,No,0,194,854
8,Male,.097943,1.97844,Owner,No,No,No,0,117,855
4,Male,.137765,.9368000000000001,Owner,No,No,No,0,55,856
10,Male,.038982,.45609,Owner,No,No,Yes,0,153,857
1,Male,.004227,.33695,Owner,No,No,No,0,2,858
13,Male,.001498,.102789,Owner,No,No,Yes,0,194,859
5,Male,.304075,5.56457,Rent,No,No,No,0,71,860
4,Female,.130404,.86067,Owner,No,No,No,0,55,861
4,Male,.003531,.027509,Owner,No,No,No,0,55,862
3,Male,.001119,.00437,Owner,No,No,Yes,0,35,863
1,Male,.012655,0,Rent,No,No,Yes,39.78,2,864
18,Male,.066666,1.53332,Owner,No,No,Yes,0,227,865
4,Male,.480966,12.36082,Owner,No,No,Yes,0,55,866
17,Male,.091366,.28323,Owner,No,No,No,0,216,867
9,Male,.092888,1.72772,Owner,No,No,No,0,141,868
13,Male,.001165,.079945,Owner,No,Yes,Yes,0,194,869
13,Male,.056303,1.62716,Owner,No,No,No,0,194,870
4,Male,.012188,5.170213,Owner,No,No,Yes,0,55,871
14,Male,.014273,0,Owner,No,No,Yes,0,206,872
17,Male,.017328,0,Owner,No,No,No,0,216,873
1,Male,.001766,.16249,Owner,No,No,Yes,0,2,874
4,Male,.004576,.266761,Owner,No,No,No,0,55,875
3,Male,.00233,.184093,Owner,No,No,No,0,35,876
17,Male,.151687,2.19946,Owner,No,No,No,0,216,877
13,Male,.283145,27.748245,Owner,No,No,Yes,10,194,878
17,Male,.014192,.409573,Rent,No,No,No,0,216,879
4,Male,.281646,5.66108,Owner,No,No,No,0,55,880
1,Male,.009705,0,Owner,No,No,No,0,2,881
18,Male,.028221,0,Owner,No,No,No,0,227,882
14,Male,.251715,7.09837,Owner,No,No,Yes,0,206,883
14,Male,.011022,.965486,Owner,No,No,No,0,206,884
17,Male,.168945,12.574606,Owner,No,No,Yes,1,216,885
8,Male,.077365,1.33841,Owner,No,No,Yes,0,117,886
4,Male,.067267,.36997,Owner,No,No,No,0,55,887
14,Male,.034951,1.19184,Owner,No,No,Yes,0,206,888
14,Male,.007745,.6785,Owner,No,No,No,0,206,889
14,Male,.01276,.43511,Owner,No,No,Yes,0,206,890
5,Male,.001408,0,Rent,No,No,No,0,71,891
6,Male,.004211,0,Rent,No,No,No,0,90,892
8,Male,.053158,1.07379,Owner,No,No,No,0,117,893
2,Female,.205783,1.19354,Owner,No,No,Yes,150,19,894
3,Male,.002256,.00925,Owner,No,No,No,0,35,895
3,Male,.010295,0,Owner,No,No,No,0,35,896
3,Male,.107037,.689318,Owner,No,No,No,0,35,897
13,Male,.009699,1.011554,Owner,No,Yes,Yes,0,194,898
5,Male,.029288,0,Owner,No,No,No,0,71,899
4,Female,.003381,0,Owner,No,No,Yes,0,55,900
3,Male,.01509,.05885,Owner,No,No,Yes,0,35,901
3,Male,.065159,0,Owner,No,No,No,0,35,902
17,Male,.112913,.8016799999999999,Owner,No,No,Yes,14,216,903
14,Male,1.673299,47.18703,Owner,No,No,Yes,50,206,904
18,Male,.105709,2.43131,Owner,No,No,No,0,227,905
14,Male,.152235,0,Owner,No,No,No,0,206,906
4,Male,.001525,.088919,Owner,No,No,No,0,55,907
1,Male,.001552,.107352,Owner,No,No,Yes,0,2,908
14,Male,.680772,19.19777,Owner,No,No,No,0,206,909
5,Male,.7635729999999999,21.83817,Owner,No,No,No,0,71,910
5,Male,.122363,0,Owner,No,No,Yes,0,71,911
13,Female,.035342,.07068,Owner,No,No,No,0,194,912
4,Male,.056361,.30998,Owner,No,No,No,0,55,913
5,Male,.000596,.00513,Owner,No,Yes,No,0,71,914
7,Male,.036826,0,Owner,Yes,No,Yes,20,106,915
10,Male,.002973,.277844,Owner,No,Yes,Yes,2,153,916
4,Male,.002763,.255558,Owner,No,No,No,0,55,917
7,Male,.038244,0,Owner,No,No,No,0,106,918
3,Female,.027925,.38257,Owner,No,No,No,0,35,919
1,Male,.090712,0,Owner,No,No,Yes,0,2,920
10,Male,.054013,5.048084999999999,Owner,No,No,No,0,153,921
5,Female,.067588,1.12871,Owner,No,No,No,0,71,922
6,Female,.0196,.2646,Owner,No,No,No,0,90,923
17,Male,.166502,0,Owner,No,No,Yes,2.5,216,924
4,Male,.010664,.2199867,Owner,No,No,No,0,55,925
4,Male,.00904,0,Owner,No,No,No,0,55,926
17,Male,.039884,0,Owner,No,No,No,0,216,927
18,Male,.079227,1.37855,Owner,No,No,No,0,227,928
10,Male,.01049,0,Owner,No,No,No,0,153,929
1,Male,.393567,0,Owner,No,No,No,0,2,930
5,Male,.549864,6.43341,Owner,No,No,Yes,10,71,931
4,Male,.000853,.0175989,Owner,No,No,Yes,0,55,932
1,Male,.012236,0,Owner,No,No,Yes,0,2,933
5,Female,.002674,0,Owner,No,No,Yes,0,71,934
1,Male,.142718,0,Owner,No,No,No,0,2,935
18,Male,.158276,2.57989,Owner,No,No,No,0,227,936
9,Male,.16424,3.05486,Owner,No,No,Yes,0,141,937
6,Female,.077408,1.76489,Rent,No,No,Yes,0,90,938
7,Male,.002397,0,Owner,No,No,No,0,106,939
